label,timestamp,animal_id,temperatura_corporal_prom,hubo_rumia,frec_cardiaca_prom,rmssd,sdnn,hubo_vocalizacion,latitud,longitud,metros_recorridos,velocidad_movimiento_prom
sana,2025-06-01 09:15:00,BOV_001,37.89,1,58.5,36.4,54.1,0,-34.623774,-60.854385,129.2,1.55
sana,2025-06-01 09:20:00,BOV_001,38.26,0,65.4,44.8,60.6,0,-34.623772,-60.854385,176.7,2.12
sana,2025-06-01 09:25:00,BOV_001,38.39,0,80.0,48.9,55.3,0,-34.623772,-60.854385,0.0,0.0
sana,2025-06-01 09:30:00,BOV_001,38.48,0,60.2,43.5,63.7,0,-34.623772,-60.854384,143.3,1.72
sana,2025-06-01 09:35:00,BOV_001,38.62,0,62.4,43.2,54.1,0,-34.623772,-60.854384,19.2,0.23
sana,2025-06-01 09:40:00,BOV_001,38.16,0,61.1,42.9,60.4,0,-34.623772,-60.854385,70.0,0.84
sana,2025-06-01 09:45:00,BOV_001,39.33,1,78.7,30.9,42.3,0,-34.623772,-60.854385,69.2,0.83
sana,2025-06-01 09:50:00,BOV_001,40.64,0,65.2,34.2,48.0,0,-34.623772,-60.854385,24.2,0.29
sana,2025-06-01 09:55:00,BOV_001,39.35,1,67.5,39.8,56.3,0,-34.623772,-60.854385,0.0,0.0
sana,2025-06-01 10:00:00,BOV_001,38.71,1,49.4,38.5,52.1,1,-34.623772,-60.854385,13.3,0.16
sana,2025-06-01 10:05:00,BOV_001,39.78,1,61.7,36.0,40.2,0,-34.623772,-60.854385,54.2,0.65
sana,2025-06-01 10:10:00,BOV_001,37.96,0,79.3,41.2,46.0,0,-34.623772,-60.854386,141.7,1.7
sana,2025-06-01 10:15:00,BOV_001,38.46,1,56.6,62.9,78.5,0,-34.623772,-60.854386,63.3,0.76
sana,2025-06-01 10:20:00,BOV_001,39.68,1,71.7,25.8,33.9,0,-34.623772,-60.854386,70.8,0.85
sana,2025-06-01 10:25:00,BOV_001,38.19,0,60.6,43.2,59.3,0,-34.623772,-60.854386,143.3,1.72
sana,2025-06-01 10:30:00,BOV_001,39.17,1,60.5,35.8,43.4,0,-34.623772,-60.854386,0.0,0.0
sana,2025-06-01 10:35:00,BOV_001,38.51,1,63.4,35.2,41.0,0,-34.623772,-60.854387,40.0,0.48
sana,2025-06-01 10:40:00,BOV_001,38.7,0,63.8,30.5,45.4,0,-34.623772,-60.854386,32.5,0.39
sana,2025-06-01 10:45:00,BOV_001,39.84,1,78.5,49.0,57.6,0,-34.623772,-60.854386,30.0,0.36
sana,2025-06-01 10:50:00,BOV_001,38.23,1,70.8,23.0,26.7,0,-34.623772,-60.854387,70.8,0.85
sana,2025-06-01 10:55:00,BOV_001,39.4,1,73.1,31.6,40.0,0,-34.623772,-60.854387,242.5,2.91
sana,2025-06-01 11:00:00,BOV_001,38.62,0,74.6,42.4,49.0,0,-34.623772,-60.854387,58.3,0.7
sana,2025-06-01 11:05:00,BOV_001,37.61,1,70.5,35.7,50.9,0,-34.623773,-60.854387,142.5,1.71
sana,2025-06-01 11:10:00,BOV_001,39.62,0,67.7,37.8,47.4,0,-34.623773,-60.854387,20.0,0.24
sana,2025-06-01 11:15:00,BOV_001,38.29,0,63.2,44.2,58.1,0,-34.623774,-60.854388,162.5,1.95
sana,2025-06-01 11:20:00,BOV_001,38.33,0,67.6,34.0,47.8,0,-34.623774,-60.854388,165.0,1.98
sana,2025-06-01 11:25:00,BOV_001,39.78,0,79.3,24.5,30.3,0,-34.623774,-60.854388,39.2,0.47
sana,2025-06-01 11:30:00,BOV_001,38.75,0,68.9,27.8,36.2,1,-34.623774,-60.854388,197.5,2.37
sana,2025-06-01 11:35:00,BOV_001,38.89,0,57.0,25.9,36.1,0,-34.623775,-60.854388,204.2,2.45
sana,2025-06-01 11:40:00,BOV_001,39.31,1,51.6,55.2,61.9,0,-34.623776,-60.854388,135.0,1.62
sana,2025-06-01 11:45:00,BOV_001,39.47,1,60.0,24.0,30.7,0,-34.623777,-60.854388,60.8,0.73
sana,2025-06-01 11:50:00,BOV_001,39.06,0,79.2,51.6,57.0,0,-34.623777,-60.854388,25.0,0.3
sana,2025-06-01 11:55:00,BOV_001,38.35,1,66.6,31.9,46.5,0,-34.623777,-60.854388,123.3,1.48
sana,2025-06-01 12:00:00,BOV_001,38.67,1,61.2,56.1,73.5,0,-34.623777,-60.854388,0.0,0.0
sana,2025-06-01 12:05:00,BOV_001,38.59,1,68.6,48.7,61.5,0,-34.623777,-60.854388,0.0,0.0
sana,2025-06-01 12:10:00,BOV_001,38.17,1,62.6,43.8,59.6,0,-34.623777,-60.854388,132.5,1.59
sana,2025-06-01 12:15:00,BOV_001,39.64,1,57.6,33.0,48.1,0,-34.623777,-60.854388,15.8,0.19
sana,2025-06-01 12:20:00,BOV_001,38.71,1,63.1,49.1,59.1,0,-34.623778,-60.854388,129.2,1.55
sana,2025-06-01 12:25:00,BOV_001,37.47,1,55.2,53.0,75.3,1,-34.623778,-60.854388,76.7,0.92
sana,2025-06-01 12:30:00,BOV_001,38.95,1,63.0,40.2,60.0,0,-34.623778,-60.854388,0.0,0.0
sana,2025-06-01 12:35:00,BOV_001,38.53,1,71.0,55.1,75.3,0,-34.623779,-60.854389,183.3,2.2
sana,2025-06-01 12:40:00,BOV_001,38.64,0,67.6,33.7,38.2,0,-34.623779,-60.854389,0.0,0.0
sana,2025-06-01 12:45:00,BOV_001,38.91,0,48.8,62.1,91.6,0,-34.62378,-60.854389,59.2,0.71
sana,2025-06-01 12:50:00,BOV_001,38.95,1,80.6,29.1,33.3,0,-34.62378,-60.854391,210.8,2.53
sana,2025-06-01 12:55:00,BOV_001,38.92,1,68.3,29.7,39.7,0,-34.62378,-60.85439,141.7,1.7
sana,2025-06-01 13:00:00,BOV_001,37.98,0,68.5,45.8,65.2,0,-34.62378,-60.854391,49.2,0.59
sana,2025-06-01 13:05:00,BOV_001,39.14,0,65.9,44.6,66.4,0,-34.62378,-60.854391,65.8,0.79
sana,2025-06-01 13:10:00,BOV_001,38.52,1,68.1,34.0,40.5,1,-34.62378,-60.854391,10.8,0.13
sana,2025-06-01 13:15:00,BOV_001,38.94,0,49.9,33.3,45.0,0,-34.623779,-60.85439,150.0,1.8
sana,2025-06-01 13:20:00,BOV_001,39.41,0,82.1,37.1,53.8,0,-34.623779,-60.85439,0.0,0.0
sana,2025-06-01 13:25:00,BOV_001,38.62,1,60.5,28.7,34.3,1,-34.623779,-60.85439,11.7,0.14
sana,2025-06-01 13:30:00,BOV_001,38.33,1,76.8,35.5,52.5,0,-34.623778,-60.854391,160.0,1.92
sana,2025-06-01 13:35:00,BOV_001,38.42,1,60.4,45.4,56.3,0,-34.623778,-60.854391,40.8,0.49
sana,2025-06-01 13:40:00,BOV_001,38.85,1,58.5,47.6,56.6,0,-34.623778,-60.854391,27.5,0.33
sana,2025-06-01 13:45:00,BOV_001,39.06,1,75.1,30.6,38.7,0,-34.623778,-60.854391,90.8,1.09
sana,2025-06-01 13:50:00,BOV_001,38.75,0,63.6,52.7,68.1,0,-34.623779,-60.854392,173.3,2.08
sana,2025-06-01 13:55:00,BOV_001,38.88,0,68.6,48.6,70.3,0,-34.623778,-60.854391,113.3,1.36
sana,2025-06-01 14:00:00,BOV_001,39.21,0,67.1,39.4,48.6,0,-34.623778,-60.854391,114.2,1.37
sana,2025-06-01 14:05:00,BOV_001,39.14,0,53.1,40.2,48.4,0,-34.623778,-60.854391,93.3,1.12
sana,2025-06-01 14:10:00,BOV_001,39.58,0,64.9,42.4,57.4,0,-34.623778,-60.854391,100.0,1.2
sana,2025-06-01 14:15:00,BOV_001,38.43,1,65.4,22.5,30.3,0,-34.623779,-60.854391,154.2,1.85
sana,2025-06-01 14:20:00,BOV_001,38.83,0,64.5,56.5,68.3,0,-34.623779,-60.854391,9.2,0.11
sana,2025-06-01 14:25:00,BOV_001,39.42,1,78.0,36.3,53.6,0,-34.623779,-60.854391,15.8,0.19
sana,2025-06-01 14:30:00,BOV_001,38.81,1,63.0,43.6,51.7,0,-34.623779,-60.854391,157.5,1.89
sana,2025-06-01 14:35:00,BOV_001,38.82,0,63.1,47.1,67.7,0,-34.623779,-60.85439,143.3,1.72
sana,2025-06-01 14:40:00,BOV_001,39.46,1,59.4,58.1,68.6,1,-34.623779,-60.85439,0.0,0.0
sana,2025-06-01 14:45:00,BOV_001,38.64,0,67.3,36.8,47.5,0,-34.623779,-60.85439,52.5,0.63
sana,2025-06-01 14:50:00,BOV_001,38.53,0,62.6,29.9,40.3,0,-34.623779,-60.85439,41.7,0.5
sana,2025-06-01 14:55:00,BOV_001,38.56,0,58.9,42.1,57.9,0,-34.623778,-60.85439,31.7,0.38
sana,2025-06-01 15:00:00,BOV_001,38.32,0,70.7,43.8,60.7,0,-34.623778,-60.85439,111.7,1.34
sana,2025-06-01 15:05:00,BOV_001,39.05,1,85.8,34.3,38.6,0,-34.623778,-60.85439,120.0,1.44
sana,2025-06-01 15:10:00,BOV_001,38.41,0,66.1,60.6,80.1,0,-34.623778,-60.85439,33.3,0.4
sana,2025-06-01 15:15:00,BOV_001,39.29,1,64.6,49.0,62.2,0,-34.623778,-60.854389,168.3,2.02
sana,2025-06-01 15:20:00,BOV_001,38.61,1,77.8,37.1,54.2,0,-34.623778,-60.854389,165.8,1.99
sana,2025-06-01 15:25:00,BOV_001,39.27,1,68.1,45.9,67.2,0,-34.623778,-60.854388,68.3,0.82
sana,2025-06-01 15:30:00,BOV_001,38.52,1,72.5,10.7,13.3,0,-34.623778,-60.854388,141.7,1.7
sana,2025-06-01 15:35:00,BOV_001,39.12,1,56.2,26.3,29.7,0,-34.623777,-60.854388,100.8,1.21
sana,2025-06-01 15:40:00,BOV_001,38.24,1,73.1,50.8,59.3,1,-34.623776,-60.854387,177.5,2.13
sana,2025-06-01 15:45:00,BOV_001,38.84,1,75.2,37.1,42.5,1,-34.623776,-60.854387,148.3,1.78
sana,2025-06-01 15:50:00,BOV_001,38.7,1,67.5,18.9,21.1,0,-34.623776,-60.854387,134.2,1.61
sana,2025-06-01 15:55:00,BOV_001,37.63,1,91.2,29.7,33.0,0,-34.623775,-60.854388,154.2,1.85
sana,2025-06-01 16:00:00,BOV_001,39.63,0,61.9,43.1,59.4,0,-34.623774,-60.854387,126.7,1.52
sana,2025-06-01 16:05:00,BOV_001,38.44,1,66.3,41.5,56.9,0,-34.623773,-60.854388,160.8,1.93
sana,2025-06-01 16:10:00,BOV_001,38.27,0,65.2,42.8,62.0,0,-34.623773,-60.85439,170.0,2.04
sana,2025-06-01 16:15:00,BOV_001,39.11,0,67.2,48.6,61.9,0,-34.623773,-60.85439,176.7,2.12
sana,2025-06-01 16:20:00,BOV_001,37.72,1,75.0,33.2,41.7,0,-34.623773,-60.85439,49.2,0.59
sana,2025-06-01 16:25:00,BOV_001,39.16,1,75.5,18.6,26.9,0,-34.623773,-60.85439,91.7,1.1
sana,2025-06-01 16:30:00,BOV_001,40.1,0,78.6,44.1,62.9,0,-34.623773,-60.85439,121.7,1.46
sana,2025-06-01 16:35:00,BOV_001,38.68,0,58.8,30.5,37.3,0,-34.623773,-60.854391,73.3,0.88
sana,2025-06-01 16:40:00,BOV_001,39.03,0,54.7,39.2,46.0,0,-34.623773,-60.854391,263.3,3.16
sana,2025-06-01 16:45:00,BOV_001,39.29,0,62.1,35.6,48.2,0,-34.623773,-60.854391,145.0,1.74
sana,2025-06-01 16:50:00,BOV_001,38.18,0,52.0,58.5,84.0,0,-34.623773,-60.85439,190.8,2.29
sana,2025-06-01 16:55:00,BOV_001,39.56,1,57.0,43.2,55.3,0,-34.623773,-60.85439,89.2,1.07
sana,2025-06-01 17:00:00,BOV_001,38.53,1,64.9,38.8,52.1,0,-34.623775,-60.854389,239.2,2.87
sana,2025-06-01 17:05:00,BOV_001,38.85,0,58.8,25.6,35.5,0,-34.623775,-60.854389,14.2,0.17
sana,2025-06-01 17:10:00,BOV_001,38.46,1,59.4,30.4,36.2,1,-34.623775,-60.85439,90.8,1.09
sana,2025-06-01 17:15:00,BOV_001,39.27,1,67.6,43.6,53.6,0,-34.623773,-60.854389,281.7,3.38
sana,2025-06-01 17:20:00,BOV_001,38.5,0,67.7,41.8,48.9,0,-34.623773,-60.854388,79.2,0.95
sana,2025-06-01 17:25:00,BOV_001,39.3,0,54.5,35.1,40.7,0,-34.623772,-60.854388,45.8,0.55
sana,2025-06-01 17:30:00,BOV_001,39.11,0,72.3,33.4,38.4,0,-34.623773,-60.854389,66.7,0.8
sana,2025-06-01 17:35:00,BOV_001,38.63,1,70.1,31.9,40.8,0,-34.623773,-60.854389,30.0,0.36
sana,2025-06-01 17:40:00,BOV_001,38.56,0,72.6,37.0,53.5,0,-34.623773,-60.854389,101.7,1.22
sana,2025-06-01 17:45:00,BOV_001,37.99,1,74.6,41.0,58.6,0,-34.623773,-60.854389,145.8,1.75
sana,2025-06-01 17:50:00,BOV_001,39.08,1,68.6,24.8,31.2,0,-34.623773,-60.85439,166.7,2.0
sana,2025-06-01 17:55:00,BOV_001,36.94,1,65.7,43.8,52.0,0,-34.623773,-60.854389,78.3,0.94
sana,2025-06-01 18:00:00,BOV_001,38.43,1,60.5,36.8,50.7,0,-34.623773,-60.854389,26.7,0.32
sana,2025-06-01 18:05:00,BOV_001,38.3,1,69.1,35.3,41.6,0,-34.623772,-60.854389,193.3,2.32
sana,2025-06-01 18:10:00,BOV_001,37.41,0,74.4,32.9,43.2,1,-34.623772,-60.854389,23.3,0.28
sana,2025-06-01 18:15:00,BOV_001,38.18,1,69.8,48.6,62.7,0,-34.623772,-60.854389,65.8,0.79
sana,2025-06-01 18:20:00,BOV_001,39.08,0,58.5,59.3,71.3,1,-34.623771,-60.854388,115.0,1.38
sana,2025-06-01 18:25:00,BOV_001,38.89,1,74.4,31.8,41.6,0,-34.62377,-60.854388,130.0,1.56
sana,2025-06-01 18:30:00,BOV_001,38.64,0,53.3,30.8,38.2,0,-34.62377,-60.854388,86.7,1.04
sana,2025-06-01 18:35:00,BOV_001,38.07,1,70.3,47.1,59.0,0,-34.623769,-60.854387,201.7,2.42
sana,2025-06-01 18:40:00,BOV_001,39.83,1,61.0,48.6,72.5,0,-34.623769,-60.854388,161.7,1.94
sana,2025-06-01 18:45:00,BOV_001,38.93,1,64.2,33.5,42.6,0,-34.623769,-60.854388,25.0,0.3
sana,2025-06-01 18:50:00,BOV_001,39.06,0,72.7,33.7,48.7,0,-34.623769,-60.854387,164.2,1.97
sana,2025-06-01 18:55:00,BOV_001,39.05,0,70.5,29.8,39.3,0,-34.623769,-60.854388,140.0,1.68
sana,2025-06-01 19:00:00,BOV_001,38.83,1,73.6,41.0,57.1,0,-34.623769,-60.854388,0.0,0.0
sana,2025-06-01 19:05:00,BOV_001,38.83,1,73.8,32.8,42.1,0,-34.623769,-60.854388,134.2,1.61
sana,2025-06-01 19:10:00,BOV_001,38.82,1,76.9,44.8,60.3,0,-34.623768,-60.854389,119.2,1.43
sana,2025-06-01 19:15:00,BOV_001,38.19,0,55.7,33.5,46.5,0,-34.623768,-60.854389,0.0,0.0
sana,2025-06-01 19:20:00,BOV_001,39.77,1,69.0,33.9,46.0,0,-34.623768,-60.854388,88.3,1.06
sana,2025-06-01 19:25:00,BOV_001,38.33,1,74.0,38.5,43.5,0,-34.623767,-60.854388,182.5,2.19
sana,2025-06-01 19:30:00,BOV_001,39.38,1,56.1,37.9,46.7,0,-34.623768,-60.854387,125.8,1.51
sana,2025-06-01 19:35:00,BOV_001,39.65,0,57.8,35.6,45.0,0,-34.623767,-60.854387,110.0,1.32
sana,2025-06-01 19:40:00,BOV_001,37.88,0,64.9,23.0,28.0,0,-34.623767,-60.854387,160.0,1.92
sana,2025-06-01 19:45:00,BOV_001,38.5,0,77.1,28.3,32.0,0,-34.623766,-60.854387,86.7,1.04
sana,2025-06-01 19:50:00,BOV_001,38.74,0,55.5,43.9,61.5,0,-34.623766,-60.854387,23.3,0.28
sana,2025-06-01 19:55:00,BOV_001,38.06,1,57.1,37.3,52.6,0,-34.623768,-60.854386,192.5,2.31
sana,2025-06-01 20:00:00,BOV_001,38.48,1,67.4,44.1,65.0,0,-34.623769,-60.854387,145.8,1.75
sana,2025-06-01 20:05:00,BOV_001,37.88,1,85.7,39.9,49.5,0,-34.623769,-60.854387,109.2,1.31
sana,2025-06-01 20:10:00,BOV_001,39.2,0,57.4,40.3,58.2,1,-34.623769,-60.854387,110.0,1.32
sana,2025-06-01 20:15:00,BOV_001,37.75,0,62.5,36.8,46.5,0,-34.623769,-60.854388,218.3,2.62
sana,2025-06-01 20:20:00,BOV_001,39.28,1,59.4,32.3,37.7,0,-34.623769,-60.854388,0.0,0.0
sana,2025-06-01 20:25:00,BOV_001,38.78,1,66.0,38.6,56.5,0,-34.623768,-60.854388,33.3,0.4
sana,2025-06-01 20:30:00,BOV_001,39.12,0,64.8,26.3,32.0,0,-34.623768,-60.854388,161.7,1.94
sana,2025-06-01 20:35:00,BOV_001,37.84,0,65.5,50.1,61.5,0,-34.623768,-60.854388,125.0,1.5
sana,2025-06-01 20:40:00,BOV_001,38.65,0,79.1,30.8,34.9,0,-34.623768,-60.854388,115.8,1.39
sana,2025-06-01 20:45:00,BOV_001,39.16,0,76.3,28.2,31.2,0,-34.623768,-60.854388,63.3,0.76
sana,2025-06-01 20:50:00,BOV_001,38.36,1,68.2,36.8,52.5,0,-34.623769,-60.854388,60.0,0.72
sana,2025-06-01 20:55:00,BOV_001,38.64,0,50.3,33.1,38.7,0,-34.623769,-60.854388,145.8,1.75
sana,2025-06-01 21:00:00,BOV_001,37.97,0,76.9,37.4,50.9,0,-34.623768,-60.854388,72.5,0.87
sana,2025-06-01 21:05:00,BOV_001,38.75,1,59.0,51.7,58.3,0,-34.623768,-60.854388,5.0,0.06
sana,2025-06-01 21:10:00,BOV_001,37.89,1,68.2,58.1,71.0,1,-34.623769,-60.854388,147.5,1.77
sana,2025-06-01 21:15:00,BOV_001,37.94,1,73.3,41.7,55.2,0,-34.623769,-60.854388,122.5,1.47
sana,2025-06-01 21:20:00,BOV_001,38.73,0,55.3,42.4,59.2,0,-34.623768,-60.854388,50.0,0.6
sana,2025-06-01 21:25:00,BOV_001,39.05,0,61.6,46.1,52.8,0,-34.623769,-60.854388,53.3,0.64
sana,2025-06-01 21:30:00,BOV_001,38.35,1,71.4,23.9,29.1,0,-34.623768,-60.854387,107.5,1.29
sana,2025-06-01 21:35:00,BOV_001,38.95,0,60.3,40.5,60.7,0,-34.623768,-60.854387,47.5,0.57
sana,2025-06-01 21:40:00,BOV_001,38.91,1,69.0,48.5,63.4,0,-34.623769,-60.854386,176.7,2.12
sana,2025-06-01 21:45:00,BOV_001,39.7,1,56.7,51.9,71.7,0,-34.623769,-60.854387,195.0,2.34
sana,2025-06-01 21:50:00,BOV_001,38.68,1,71.4,42.3,59.1,0,-34.623769,-60.854387,70.8,0.85
sana,2025-06-01 21:55:00,BOV_001,38.13,1,42.9,47.8,57.9,0,-34.623769,-60.854387,0.0,0.0
sana,2025-06-01 22:00:00,BOV_001,39.29,1,50.8,40.7,59.9,0,-34.623769,-60.854387,19.2,0.23
sana,2025-06-01 22:05:00,BOV_001,38.24,1,68.2,39.3,49.4,0,-34.623769,-60.854387,35.0,0.42
sana,2025-06-01 22:10:00,BOV_001,38.81,1,57.2,43.8,52.7,0,-34.623769,-60.854387,30.8,0.37
sana,2025-06-01 22:15:00,BOV_001,37.76,1,57.0,58.5,66.0,0,-34.623769,-60.854387,45.0,0.54
sana,2025-06-01 22:20:00,BOV_001,39.15,0,61.5,41.8,56.6,0,-34.623768,-60.854387,103.3,1.24
sana,2025-06-01 22:25:00,BOV_001,37.49,1,58.0,67.9,75.9,0,-34.623768,-60.854387,45.8,0.55
sana,2025-06-01 22:30:00,BOV_001,38.86,1,62.3,56.3,77.1,0,-34.623768,-60.854387,60.0,0.72
sana,2025-06-01 22:35:00,BOV_001,37.56,0,60.7,20.9,28.0,0,-34.623769,-60.854388,155.8,1.87
sana,2025-06-01 22:40:00,BOV_001,38.26,1,59.8,49.5,57.5,0,-34.623769,-60.854388,0.0,0.0
sana,2025-06-01 22:45:00,BOV_001,39.03,0,53.7,24.8,29.4,0,-34.623769,-60.854387,162.5,1.95
sana,2025-06-01 22:50:00,BOV_001,38.44,1,68.2,40.8,51.2,1,-34.623769,-60.854387,5.0,0.06
sana,2025-06-01 22:55:00,BOV_001,38.41,0,65.9,42.9,61.4,0,-34.623769,-60.854387,138.3,1.66
sana,2025-06-01 23:00:00,BOV_001,37.7,0,51.5,43.8,57.9,0,-34.623769,-60.854387,63.3,0.76
sana,2025-06-01 23:05:00,BOV_001,37.7,0,55.9,41.9,51.9,0,-34.623768,-60.854388,110.8,1.33
sana,2025-06-01 23:10:00,BOV_001,38.04,1,67.5,63.4,85.5,0,-34.623768,-60.854388,75.8,0.91
sana,2025-06-01 23:15:00,BOV_001,38.68,1,79.8,36.0,51.0,0,-34.623768,-60.854388,96.7,1.16
sana,2025-06-01 23:20:00,BOV_001,38.61,1,53.6,50.9,61.8,0,-34.623769,-60.854387,94.2,1.13
sana,2025-06-01 23:25:00,BOV_001,39.13,1,61.6,44.6,66.1,0,-34.623769,-60.854386,177.5,2.13
sana,2025-06-01 23:30:00,BOV_001,36.95,1,71.7,41.1,45.5,0,-34.623768,-60.854387,141.7,1.7
sana,2025-06-01 23:35:00,BOV_001,39.04,1,58.9,32.2,47.8,0,-34.623768,-60.854386,32.5,0.39
sana,2025-06-01 23:40:00,BOV_001,38.87,0,61.7,43.2,60.5,0,-34.623768,-60.854387,116.7,1.4
sana,2025-06-01 23:45:00,BOV_001,38.07,1,65.3,23.3,26.2,0,-34.623768,-60.854387,0.0,0.0
sana,2025-06-01 23:50:00,BOV_001,38.05,1,70.3,49.4,55.3,0,-34.623768,-60.854387,11.7,0.14
sana,2025-06-01 23:55:00,BOV_001,38.34,1,69.0,38.2,49.3,0,-34.623768,-60.854387,120.0,1.44
sana,2025-06-02 00:00:00,BOV_001,37.94,0,44.2,39.8,53.1,1,-34.623768,-60.854387,4.2,0.05
sana,2025-06-02 00:05:00,BOV_001,38.7,1,77.4,27.6,38.9,0,-34.623768,-60.854387,82.5,0.99
sana,2025-06-02 00:10:00,BOV_001,38.52,1,57.1,52.0,57.2,1,-34.623769,-60.854387,141.7,1.7
sana,2025-06-02 00:15:00,BOV_001,38.49,0,61.6,45.6,55.9,0,-34.623769,-60.854387,45.0,0.54
sana,2025-06-02 00:20:00,BOV_001,38.49,1,68.1,33.6,43.6,0,-34.623769,-60.854387,112.5,1.35
sana,2025-06-02 00:25:00,BOV_001,37.93,1,73.6,41.9,56.9,0,-34.623769,-60.854387,59.2,0.71
